Weapon Name,Translated,Enemy Rank,Teammate Rank
explosher,Explosher,0.511271341,0.494609487
96gal,.96 Gal,0.492762186,0.459255979
rapid_elite,Rapid Blaster Pro,0.454239569,0.382789318
fincent,Painbrush,0.466617302,0.515134317
octoshooter_replica,Octo Shot Replica,0.481896141,0.462728551
splatspinner,Mini Splatling,0.504404568,0.517019667
parashelter,Splat Brella,0.447816826,0.455938697
order_charger_replica,Order Charger Replica,0.429787234,0.491836735
splatscope_collabo,Z+F Splatterscope,0.482093664,0.533103448
spaceshooter,Splattershot Nova,0.455197133,0.456637168
hydra_custom,Custom Hydra Splatling,0.532021766,0.48731203
wideroller_collabo,Big Swig Roller Express,0.431299488,0.484942085
rapid,Rapid Blaster,0.487532808,0.41808094
lact450_deco,REEF-LUX 450 Deco,0.500805153,0.515532544
soytuber_custom,Custom Goo Tuber,0.445151033,0.5
order_spinner_replica,Order Splatling Replica,0.517657192,0.491341991
jetsweeper_custom,Custom Jet Squelcher,0.481187506,0.500431655
spygadget,Undercover Brella,0.5113018,0.507459207
gaen_ff,Douser Dualies FF,0.447807933,0.516087516
kelvin525_deco,Glooga Dualies Deco,0.464267866,0.49599466
examiner_hue,Heavy Edit Splatling Nouveau,0.488842761,0.447066327
spygadget_sorella,Undercover Sorella Brella,0.49204244,0.496825397
clashblaster_neo,Clash Blaster Neo,0.473242392,0.517387944
order_stringer_replica,Order Stringer Replica,0.466523835,0.472627737
liter4k_scope_custom,Custom E-liter 4K Scope,0.513293944,0.487179487
furuido_custom,Custom Wellstring V,0.476863299,0.482279693
moprin_d,Dread Wringer D,0.498489426,0.48880597
brella24mk1,Recycled Brella 24 Mk I,0.398797595,0.413580247
bamboo14mk2,Bamboozler 14 Mk II,0.479591837,0.507978723
rpen_5b,Snipewriter 5B,0.4816,0.46
gaen_ff_custom,Custom Douser Dualies FF,0.428429423,0.47037037
order_shelter_replica,Order Brella Replica,0.389908257,0.557142857
